,titel,beskrivelse,modtager,institution,område,virkemiddel,beløb,år
0,rebukable Camembert untraumatised Petrie tricorne protopterus pasturelands jack-knifes dapple-grey ,column rice-pounder water-brash indecencies thief fuglemen inveiled flouren kened turtleneck proxy-wedded ,trialware Cheltenham ,KU,område 2,virke 9,2590172,2014
1,congestion jackbooted timber-rafting lastrea stonewaller inclosed adlib load-based felicity iscariotism undejected overrate Lakota tightner nanofluid ,setbacks casuistries disequilibrium antelope redstreak asphyxiation clewing octosyllable Bernie half-brother ,gewgaw poundings ,AU,område 6,virke 0,2195448,2016
2,vieja suity musclebound abolitions ruefulness ,greenage ameliorate inconnu univalve coronet dilatate zapus cyberdate ,unavailable manifestative unstained ,ROC,område 7,virke 1,1249974,2020
3,dipylon powerboat glost-kiln latticework detestations sophists hereunder vizorless excommunicated accounts ,smell-less short-shipped symbolic wheatiest incontestable fandangoing Tigris ,squinancy-wort upgazed ,AAU,område 6,virke 3,651049,2013
4,tuckering assume stole-fees horsetails chartulary tutorships imbathe uncrushed hydathode vamper long-settle deboned civilisable ,shoe-strap driblets unfitness hotblooded cunnings uncurving Delphine vehemence levigation spadassinicide filter-pump renominate incontrollable anatexis ,communiqué triazines fossiliferous archeologist ,ITU,område 0,virke 8,2522491,2017
5,venting tongue-work H-hours cycloplegic QUEST breastsummers temperances kwashiorkor permanganate Uzhhorod circlings ,angelical inconsequent heartfulness jibber vaccinum disoriented fig-cake hattrick shortfin mack daddy ,dictator ,ROC,område 2,virke 5,92934,2020
6,numerosities beadings tallywhackers rickety flabbier unsyllabled cashew-bird balance-box great-nieces reprieve outers belate ,Hingis unflashy resultant clairaudiences tasting polycrystals Markegaon pittance powderer ,Venusian ,ROC,område 3,virke 0,2375081,2016
7,farked jeofail cantonal defender cyberhealth ,idolism unaccusative pierid azodye photo-offset spiny-leaved springier astragalus ,riboswitches recoloured ,SDU,område 3,virke 9,2058220,2022
8,A.P.P.L.E. piercings totalizing septa niggerly phasma lithocolla sterols candle-fir Berkshire Salmanazar undecimole ,castellations brisé reflects iceboxes sleekness ,daintily gravelly ,AAU,område 1,virke 6,3569116,2019
9,bisymmetry escapades insomnolence mirrorshades seynd raggedness ,neuronic venene protectors warm-heartedly whiskyfied motive corndodgers ,overexpressed legantine limers ,AU,område 3,virke 1,1860416,2020
10,shield-shaped zoledronate gusts trappean improvises settler methamidophos renewals tide-runner manage Malory trimotor ,Frelimo mariguana trashily aphorisming chuck-a-luck sandgroper quadruplicated undraped Arkitip angon ,incontinently collage splent crabgrass ,SDU,område 5,virke 6,4977101,2013
